Meisterzählung,D,A,B,C,E,F,G,W,Notizen
5471,,die geburt v#and+ den ſegen,,di geburt v#aon+ dem ſegen,,,,di gepurtunde den ſegen,
5472,,den vnſ div maget brahte,,den vns di maget brachte,,,,den unſ diu maget brahte,
5473,,do ir got ge dahte,,do ſi got ſo bedachte,,,,do ſi got ſo be#f2v/12+dahte,
5474,,an allen iren dingen,,an allen irn dingen,,,,an allen irdingen,
5475,,ſagen vnde ſingen,,ſag#aen+ vnd ſingen,,,,ſagen unde ſingen,
5476,,muezze wir immer mere,,muz#aen+ wir imm#aer+ dannen,,,,muze wir da uor immermere,
5477,,,,d#aer+ ual iſt zugangen,,,,,
5478,,,,d#aer+ vns m#sue+te ſere,,,,,
5479,,alle geloubige ſele,,alle gleubige ſele,,,,alle geloubige […],
5480,,die ſulen der hochzeiten,,di ſchullent d#aer+ hochczite,,,,,
5481,,warten v#and+ beiten,,wart#aen+ vnd bite,,,,,
5482,,mit #f55r+ geiſtlichem troſte,,mit geiſtlich#aem+ troſte,,,,,
5483,,do got ſin volk erloſte,,do got ſine c#ari+ſtenheit erloſte,,,,,
5484,#iI+oſeph der heilige man,#rI+oſeph d#aer+ heilige man,,#iI+#rO+ſeph d#aer+ heilige man,,,,,
5485,do er die ammen gewan,do er die ammen gewan,,do er di amm#aen+ gewan,,,,,
5486,er gie zu dem ſteine,er gienk z#svo+ dem ſtaine,,er ginc zudeme ſteine,,,,,
5487,do lach diu maget reine 3910,da lak div maget reine,,do lag di maget reine,,,,,
5488,in einem grozzen liehte,in einem grozzen liehte,,in eime grozen lichte,,,,,
5489,iane getruoten ſie mit nîehte,ia getrouten ſi niht,,io entruweten ſi mit nichte,,,,,
5490,zu ir an die ſtat gahen,an die ſtat gegahen,,an di ſtat gegahen,,,,,
5491,da ſie #lde+n glaſt ſahen,da ſi den glaſt ſahen,,da ſi den glaſt ſahen,,,,,
5492,von #f68r+ #lde+m ewigen ſ#suo+nnen 3915,do ſi het gewunnen,,do hatte ſi gew#aun+nen,,,,,
5493,den ſie hete gewnnen,den ewigen ſunnen,,di ewig#aen+ ſunnen,,,,,
5494,,des ſchein nimmer zegat,,des ſchin n#aim+m#aer+ zurget,,,,,
5495,,die weile der himel ſtat,,di wile daz d#aer+himel ſtet,,,,,
5496,daz kint ſie dicke chûſte,daz kint ſi diche kuſte,,daz k#ain+t ſi dike kuſte,,,,,
5497,ez lag ir an #lde+r bruſte,ez lag ir an ir bruſte,,ez lac ir an d#aer+ bruſte,,,,,
5498,daz wenich waſ zeſehen,daz wenik was ze ſehene,,daz wenig was zuſehene,,,,,
5499,#avnd+ uil michel ze iehen 3920,v#and+ michel ze iehene,,vnd michel zubekennene,,,,,
5500,daz den tot uertribet,,,daz dentot u#aer+tribet,,,,,
5501,gêin dem d#siv+ erde bibet,,,gein im di erde bidemet,,,,,
5502,daz die berge erſchuttet,,,,,,,,
5503,,daz die perg alle,,daz dib#aer+ge alle,,,,,
5504,,mit michelm ſchalle,,mit michelem ſchalle,,,,,
5505,,weget v#and+ ſchutet,,weget vnd erſuchet,,,,,
5506,daz hete da gehuttet,daz het da gehvttet,,daz hatte da gebuwet,,,,,
5507,in einem engen l#suo+ge 3925,in einem engen luge,,in eime wenig#aen+ luge,,,,,
5508,ſin muter hete fr#sov+de gen#suo+ge,ſein m#suo+ter het doch frevde genvoge,,ſin muter hatte vreuden gnuge,,,,,
5509,uon den eren #lde+s wæne ich wol,,,,,,,,
5510,die fr#sov+en an daz liehte hol,,,,,,,,
5511,getorſten niht ernenden,,,,,,,,
5512,,#rD+o getorſten die vrowen in daz hol,,#iD+#rO+ entorſt#aen+ di urouw#aen+ an daz hol,,,,,
5513,,daz des liehteſ waz ſo vol,,daz ez lichtes was uol,,,,,
5514,,ſich den heinen weis niht gewenden,,keine wis ernennen,,,,,
5515,ſie muſen fur ſen#lde+n 3930,ſi m#suo+ſen fur senden,,ſi muſt#aen+ wrſenden,,,,,
5516,#lde+n guten patriarche,den milten #rP+atriark,,den milt#aen+ p#aat+riarchen,,,,,
5517,ſie wnderote ſtarche,ſi wundrot ſtark,,ſi wund#aer+t uil ſtarke,,,,,
5518,w#aan+ne #f68v+ #?d+az lieht bechame,von wannen daz lieht ſch#soe+ne,,wan dazlicht ſchone,,,,,
5519,daz got ſelben gez#^æ+me,,,,,,,,
5520,,in den ſtein chome,,in dem ſteine bekome,,,,,
5521,,,,da ie vinſt#aer+ inne was,,,,,
5522,,,,durch not vorcht#aen+ ſi daz,,,,,
5523,#ioſeph mit ſiner kiuſkeite 3935,mit #rI+oſebes kevſcheit,,ioſephs kuſſcheit,,,,,
5524,der gab in dar in geleite,gewunnen ſi gelait,,di gab in do geleit,,,,,
5525,,daz ſi dar mohten gelangen,,daz er dar mochte langen,,,,,
5526,,da div geburt was er gangen,,do digeburt was ergangen,,,,,
5527,,des kindeſ was er vil #f55v+ fro,,des kindes was er uil vro,,,,,
5528,,die goteſ genade lobt er do,,di gotis gnade lobte er do,,,,,
5529,er ſprah liebiu fr#sov+e min,er ſp#ara+ch vrowe luſtſam,,er ſprach urouwe uil luſtſam,,,,,
5530,ich han getan den willen din,,,,,,,,
5531,,ſwaz dv gepivteſt daz iſt getan,,was du gebutes daz iſt getan,,,,,
5532,wil du ſie nu gruzzen,wil dv die vrowen grvezzen,,wiltu urouwe gruzen,,,,,
5533,ſo gebîvte daz ſie muzzen 3940,ſo gebivt daz ſi m#sve+zzen,,ſo gebut daz ſi muzen,,,,,
5534,fur din antlutze gen,her fur dein antlutze gen,,wr din antlicze gen,,,,,
5535,ich hiez ſie uor dem hole ſten,ich liez ſey vor der hole ſten,,ich h#sie+z ſi vordem hole ſten,,,,,
5536,erl#sov+beſtv in die inuart,,,d#aer+loubeſtu in eine vart,,,,,
5537,ſo iſt din ere wol bewart,,,ſo wirt din ere wol bewart,,,,,
5538,ir ſin dunchet mich ſo gut 3945,,,ſi dunk#aen+t mich ſo bid#aer+we,,,,,
5539,daz du mit in biſt wol behut,,,,,,,,
5540,,du ſolt in des danken ſer,,,,,,,
5541,,,,da eniſt nicht widere,,,,,
5542,,,,ſi kvnnent dich wol behute,,,,,
5543,,,,du ſchalt ouch in mit guten,,,,,
5544,,,,danken vnd lonen,,,,,
5545,,daz ſi durch dich ſint chomen her,,daz ſi durch dinen willen her ſint kumen,,,,,
5546,Sie ſprah wie lieb ez ir ware,,,#iS+#rI+ ſprach daz were ir uil lip,,,,,
5547,ſie ſcholten ſich dauor zware,,,ſi enſcholt#aen+ ouch dauor nicht,,,,,
5548,niht langer ſumen,,,lang#aer+ ſich v#aer+ſumen,,,,,
5549,ſie #f69r+ bat den wech rûmen 3950,,,ſi bat den wek rumen,,,,,
5550,,,,wanne ſi ingingen,,,,,
5551,,,,daz ſi wol enpfing#aen+,,,,,
5552,deſ richen chriſteſ magedin,,,des richen criſtis megetin,,,,,
5553,diu hîez ſie wilchomen ſin,,,ſi hiz ſi willeku#amen+ ſin,,,,,
5554,,Si hiez ſey zvo ir gahen,,,,,,,
5555,,v#and+ begunde ſey enpfahen,,,,,,,
5556,#avnd+ bat ſie nider ſitzen,ſi pat ſei nid#aer+ ſitzen,,ſi bat ſi nid#aer+ſicze,,,,,
5557,do cherten ſie ir witze,do kerten ir witze,,do kart#aen+ ſi ir wicze,,,,,
5558,wie ſie daz kint bewarten 3955,wie ſi daz kint bewarten,,wi ſi daz k#ain+t bewarten,,,,,
5559,ein bat ſie ime garten,ein pat ſi im garten,,ein bat ſi im garten,,,,,
5560,#avnd+ wn#lde+n ez mit flizze,v#and+ wunten ez mit fleizze,,vnd w#aun+den ez m#?t+ ulize,,,,,
5561,in diu tûch ſo wizze,in die leinwat weizze,,in di tuch ſo wize,,,,,
5562,mit lininen vademen,mit leineinem vademe,,mit lininen uademen,,,,,
5563,t#^w+ngen ſie ceſamen 3960,dwungen ſi zeſamene,,twung#aen+ ſi zuſamene,,,,,
5564,den lichiname reine,den leichnamen reine,,denlichn#aam+ her vnd reine,,,,,
5565,#avnd+ daz uil heilige gebeine,v#and+ daz heilige gebeine,,vnd daz heilige gebeine,,,,,
5566,daz unſ git zelone,,,daz vns gibt zulone,,,,,
5567,die untotliken chrone,,,di vntotlich#aen+ ſtole,,,,,
5568,vn#lde+ die engeliſken wat 3965,,,vnd di engeliſſche wat,,,,,
5569,vnt #sov+ch niemen verlat,,,di ouch nimant u#aer+lat,,,,,
5570,der #?im+ wil getruwen,,,w#aer+ im wil getruwe,,,,,
5571,mit ſamet uns #f69v+ wolte er buwen,,,daz wolt er vns buwe,,,,,
5572,#avnd+ dolte daz gebende,,,vnd dolte daz geb#aen+de,,,,,
5573,uon wiplicher hende 3970,,,v#aon+ wiplichen henden,,,,,
5574,#iR+achel vnt ſalome,#rR+achel v#and+ ſalome,,[]Achel vnd ſalome,,,,,
5575,die waren zechindelbetten e,die waren ze kindelpette æ,,warn zu kinde betten e,,,,,
5576,geweſen alle zite,geweſen allezeit,,geweſen mange cite,,,,,
5577,uber die gegen wite,in der gegende weit,,ind#aer+ gegende wite,,,,,
5578,alle wipliche ſite 3975,alle weiplich ſit,,alle wipliche ſite,,,,,
5579,da ſie gewone waren mite,da ſi gewandelt heten mit,,da ſi gewont waren mite,,,,,
5580,die waren in chunt durh not,die waren in kunt v#aer+re,,di warn in k#aun+t v#aon+ rechte,,,,,
5581,vnſer trehtin in daz gebot,do gebot vnſer herre,,do gebot daz vnſere trechten,,,,,
5582,do ſie ſin muter griffen,do ſi ſin m#suo+t#aer+ ane griffen,,do ſi ſine mut#aer+ angriffen,,,,,
5583,daz ſie nider ſliffen 3980,daz ſi nider ſliffen,,daz ſi alle nid#aer+ ſliffen,,,,,
5584,zu der er#lde+ fur tot,z#svo+ der erde fur tot,,zud#aer+ erden wr tot,,,,,
5585,ir uarwe lieht #avnd+ rot,ir varbe weiz v#and+ rot,,ir uarbe licht vnd rot,,,,,
5586,diu m#suo+ſe do erbleichen,m#suo+ſte vil gar erbaichen,,di muſte do v#aer+bleic#ahen+,,,,,
5587,ſie ſprachen daz ſie daz zeichen,ſi ſprachen daz ſi daz zaichen her,,ſi ſprach#aen+ daz ſi daz zeichen,,,,,
5588,nîen #f70r+ mere heten geſehen 3985,,,,,,,,
5589,#avnd+ begunde des iehen,,,,,,,,
5590,in wære dicke geſaget,,,,,,,,
5591,daz komen ſcholte ein maget,,,,,,,,
5592,,nie gefrieſchen mer,,,,,,,
5593,,in hiet ir pyſchof geſagt,,,,,,,
5594,,dike v#aon+ einer magt,,,,,,,
5595,,,,e nime d#aer+ureiſſchſt#aen+,,,,,
5596,,,,ir biſchof vnd ir meiſter,,,,,
5597,,,,di hett#aen+ in dike daz geſagt,,,,,
5598,,,,daz kum#aen+ ſcholte ein magt,,,,,
5599,diu ane man geb#^æ+re,#f56r+ div ane man gebære,,di an man gebere,,,,,
5600,ſie iahen daz ſie daz w#^æ+re 3990,ſi iahen daz ſi daz were,,ſi iahen daz ſi daz were,,,,,
5601,der elliu werlte ie gerte,,,,,,,,
5602,#avnd+ an der ſie got gewerte,,,,,,,,
5603,gnaden #avnd+ ſæl#lde+ an ende,,,,,,,,
5604,ufhuben ſie die hen#lde+,,,,,,,,
5605,#avnd+ diu herze ander ſtun#lde+ 3995,,,,,,,,
5606,mit lobſprechentem munde,,,,,,,,
5607,durh d#siv+ wnder diu ſie ſahen,,,,,,,,
5608,die chun#lde+n ſie wol veruahen,,,,,,,,
5609,mit gutem ioh richem ſinne,,,,,,,,
5610,daz gab in div gotes minne 4000,,,,,,,,
5611,#f70v+ #iD+o hete der riche arme,,,,,,,,
5612,der mit ſinem arme,,,,,,,,
5613,al #lde+n himel umbefloz,,,,,,,,
5614,,,,vnd d#aer+riten ez ſo ſchire,,,,,
5615,,,,vor vorcht#aen+ was in leide #deine wenige+ #zvnd libe+,,,,,
5616,,#rD+o het daz kint edele,,#iD+#rO+ ſprach dazkint edele,,,,,
5617,ein ſeli#lde+ ſm#^æ+he vil ungroz ,ein vil ſmæhe ſedele,,eine wenige ſelide,,,,,
5618,doh er wære den kungen ſippe 4005,den kvnigen waz ezſippe,,den kvnig#aen+ ez was geſippe,,,,,
5619,er wolt ſih indie chrippe,doch wolt ez in die krippe,,doch wolte ez in di krippe,,,,,
5620,da legen lazzen,ſich legen lazzen,,ſich leg#aen+ lazen,,,,,
5621,da diu rinder uz azzen,da div rinder ovz azzen,,da dirind#aer+e uz azen,,,,,
5622,dar trugen in die fr#sov+en,,,dar trugen ez di vrouwen,,,,,
5623,ſie muſen wnder ſc#sov+en 4010,,,ſi muſt#aen+ wund#aer+ ſchouwen,,,,,
5624,an dem kinde here,,,an deme ſvne here,,,,,
5625,der wiſſagen lere,,,d#aer+ wiſſag#aen+ lere,,,,,
5626,diu wart erfullet daran,,,di wart erfullet darane,,,,,
5627,wand er ſih zêigen began,,,,,,,,
5628,,,,w#aan+ne er wiſet denwane,,,,,
5629,,,,ub#aer+ alle h#aer+ſchefte,,,,,
5630,,,,in ſin#aer+ mankrefte,,,,,
5631,do ſtunt ein eſel #avnd+ ein rint 4015,da ſt#suo+nt ein eſel v#and+ ein rint,,da ſt#aun+t ein eſel vnd ein r#ain+t,,,,,
5632,daz keiſerliche kint,daz keiſerleiche kint,,daz uilkeiſerliche kint,,,,,
5633,daz erkanten ſie bediv,erkante ſi beide,,daz erkant#aen+ ſi do beide,,,,,
5634,got der gab in un#lde+r div,got gab in ane laide,,got d#aer+ gab in eine,,,,,
5635,einen uerſtantlichen m#suo+t,verſtantlichen mvot,,u#aer+ſtantlich#aen+ mut,,,,,
5636,#avnd+ #lde+r ſin wart in ſo g#suo+t 4020,mit ſinnen alſo g#suo+t,,vnd den ſin alſo gut,,,,,
5637,ſie vîelen ni#lde+r andiu knîe,ſi vielen nider an die knie,,ſi uilen nid#aer+ andi kni,,,,,
5638,daz geſcah dauor nîe,daz geſchach vore nie,,daz geſchach ouch vor ni,,,,,
5639,ſie erten ir ſchepfære,,,,,,,,
5640,,ſi ſ#suo+chten mit d#aer+ menige,,ſi ſucht#aen+ ire uenie,,,,,
5641,,uil v#and+ d#aer+ venie,,mit vor [...],,,,,
5642,,vor des himeles orthaben,,,,,,,
5643,,ſwaz div zunge niht moht geſagen,,,,,,,
5644,daz duten ir gebære,daz zaige ir gebere,,,,,,,
5645,#avnd+ daz da komen wære 4025,daz da komen were,,,,,,,
5646,aller werlte herre,aller werlte h#aer+re,,,,,,,
5647,deſ wn#lde+rot verre,do wundert auer verre,,,,,,,
5648,die ammen #avnd+ #sov+h #lde+n griſen,,,,,,,,
5649,mit lobe begun#lde+n ſie briſen,,,,,,,,
5650,daz d#siv+ ſinneloſen tîere 4030,,,,,,,,
5651,ue#?r+ſinneten ſih ſo ſchîere,,,,,,,,
5652,der milten gotes gute,,,,,,,,
5653,der mæit muter gemute,,,,,,,,
5654,ſtunt in richer fr#sov+de,,,,,,,,
5655,durh #lde+s kindes beſch#sov+de 4035,,,,,,,,
5656,daz ſie ſah #avnd+ umbevie,,,,,,,,
5657,daz ſie chuſt v#and+ tigen lîe,,,,,,,,
5658,#avnd+ an ir bruſte lêite,,,,,,,,
5659,#lde+r engel ſchare chomen gereite,,,,,,,,
5660,#avnd+ waren ir dienſthaft 4040,,,,,,,,
5661,durh die n#siv+wegeborn herſchaft,,,,,,,,
5662,#71r+ #iA+rmiv lîute nahen lagen,,,,,,,,
5663,die ir #?ui+heſ pflagen,,,,,,,,
5664,an der heren nahte,,,,,,,,
5665,mit geſelleklicher wâhte 4045,,,,,,,,
5666,,die ammen die daz ſahen ,,,,,,,
5667,,fur war ſi des iahen,,,,,,,
5668,,daz ſi ez niemer gehorten,,,,,,,
5669,,mit lobelichen worten,,,,,,,
5670,,lobten ſi den heilant,,,,,,,
5671,,der ſi dar het geſant,,,,,,,
5672,,#rI+oſeph d#aer+ greiſe man,,,,,,,
5673,,michel frevde gewan,,,,,,,
5674,,do liez div magt mêre,,,,,,,
5675,,daz kint ruoben ane ſwere,,,,,,,
5676,,#rA+rme levte waren,,,,,,,
5677,,die viheſ niht enbaren,,,,,,,
5678,,die waren an daz velt,,,,,,,
5679,,v#and+ ir vihe gezelt,,,,,,,
5680,,des nahteſ ſi ſich m#suo+ten,,,,,,,
5681,,v#and+ woltes ez beh#sue+ten,,,,,,,
5682,,vor den wolfen rêzzen,,,,,,,
5683,,#f56v+ daz ſi ez niht enfrezzen,,,,,,,
5684,,ir wahte ſi pflegten,,,,,,,
5685,,als in geboten heten,,,,,,,
5686,,ir meiſter v#and+ ir wirtte,,,,,,,
5687,,ia trugen auch die hirtte,,,,,,,
5688,ſie trugen kolben #avnd+ bogen,grozze kolben v#and+ bog#aen+,,,,,,,
5689,do chom ein engel geflogen,do kom ein engel geflogen,,,,,,,
5690,zv in mit grozzem glaſte,,,,,,,,
5691,ſie erkomen uon #lde+m gaſte,,,,,,,,
5692,er troſte ſie #avnd+ ſaget in m#^æ+re 4050,,,,,,,,
5693,wie der heilant geborn w#^æ+re,,,,,,,,
5694,,michel was div claritas,,,,,,,
5695,,v#and+ der ſchein d#aer+ da was,,,,,,,
5696,,do der geweltige bote,,,,,,,
5697,,die mere ſagte von gote,,,,,,,
5698,,erchomen waren die knehte,,,,,,,
5699,,do troſte ſi mit,,,,,,,
5700,,div engliſche g#suo+te,,,,,,,
5701,,v#and+ freute ir gem#suo+te,,,,,,,
5702,er ſprah #siv+wer ſorgen ir lat,#rE+r ſprach ewer ſorge verlat,,,,,,,
5703,ich chun#lde+ #siv+ waz got hat,,,,,,,,
5704,nu gnaden begangen,,,,,,,,
5705,er hat an ſih enpfangen 4055,,,,,,,,
5706,daz bil#?d+ ſiner hantgetat,,,,,,,,
5707,durh #lde+n uaterlichen rat,,,,,,,,
5708,#f71v+ daz er die werlt alle,,,,,,,,
5709,erloſe uon #lde+m ualle,,,,,,,,
5710,#lde+n der eriſte menniſke tet 4060,,,,,,,,
5711,uz der wnneklichen ſtet,,,,,,,,
5712,in ditze chlagliche tal,,,,,,,,
5713,nu iſt d#siv+ ſchulde #avnd+ der ual,,,,,,,,
5714,adames gar uerchorn,,,,,,,,
5715,,ich ſag iv wie ez ergat,,,,,,,
5716,,ein freyde iſt errunnen,,,,,,,
5717,,vber allez menniſchen kunne,,,,,,,
5718,,der sult ir ouch geniezzen,,,,,,,
5719,,deſ ſol evch niht ver driezzen,,,,,,,
5720,,adames ſchulde iſt ver lorn,,,,,,,
5721,iv iſt #lde+r heilant geborn 4065,iv iſt geborn,,,,,,,
5722,mit fleiſke #avnd+ gebêine,ein hail mit fleiſche v#and+ mit gebeine ,,,,,,,
5723,d#siv+ fr#sov+de iſt gemêine,ſin frevde wirt gemaine,,,,,,,
5724,der ſchult #sov+h ir geniezen,,,,,,,,
5725,daz die wiſſagen geh#zi+ezzen,,,,,,,,
5726,#siv+weren altfor#lde+rn 4070,,,,,,,,
5727,daz iſt nu ſihtich wor#lde+n,,,,,,,,
5728,Cebethlehem ſchult ir gan,,,,,,,,
5729,da uindet ir ſun#lde+r wân,,,,,,,,
5730,in einer krippe daz kint,,,,,,,,
5731,deſ enſamet elliv riche ſint 4075,,,,,,,,
5732,#avnd+ die reinen muter dabi,,,,,,,,
5733,ein urchun#lde+ iv daz ſi,,,,,,,,
5734,der troſtlichen warheit,,,,,,,,
5735,die ich iv han furgeleit,,,,,,,,
5736,alſ er in daz geſagete 4080,,,,,,,,
5737,in die lufte er ſih gehabete,,,,,,,,
5738,gein den himeliſken t#suo+ren,,,,,,,,
5739,daz ſie in chume #?rch+uren,,,,,,,,
5740,,aller ſlahte diet#aen+,,,,,,,
5741,,er wil die chlage ver biten,,,,,,,
5742,,v#and+ die helle zebrechen,,,,,,,
5743,,den grozzen roup rechen,,,,,,,
5744,,den der tievel gevie,,,,,,,
5745,,do er evam vbergie,,,,,,,
5746,,in die kurze #rB+ethlehem,,,,,,,
5747,,ſult ir eilinde gen,,,,,,,
5748,,ich ſag ev von dem kinde,,,,,,,
5749,,ſeht daz ſult ir vinden,,,,,,,
5750,,in einer krippe an einem #f57r+ hol ,,,,,,,
5751,,da sult ir ez mite lob,,,,,,,
5752,,eren ger#suo+c#ahen+,,,,,,,
5753,,vnde fleizzechlichen ſ#suo+chen,,,,,,,
5754,,do er des redet gen#suo+k,,,,,,,
5755,,ſin fluk in hinze himel tr#suo+k,,,,,,,
5756,do komen enkegin im ſa,do kom im engegene,,,,,,,
5757,mit michelre menige da 4085,mit micheler menige,,,,,,,
5758,die chore ſines geſindes,,,,,,,,
5759,der uf der erde indes,,,,,,,,
5760,erſchinen geruhte,,,,,,,,
5761,#avnd+ deſ menniſken heil ſuhte,,,,,,,,
5762,ſie huben uf u#and+ lobeten got 4090,,,,,,,,
5763,ſin#siv+ wn#lde+r #avnd+ ſin gebote,,,,,,,,
5764,ſin gna#lde+ #avnd+ ſine gute,,,,,,,,
5765,mit frolichem gemute,,,,,,,,
5766,,die engel von deſ himels trone,,,,,,,
5767,,ſi lobten got ſchone,,,,,,,
5768,#avnd+ mit liebe ſungen ſie do,vil loute ſvngen ſi do,,,,,,,
5769,Gloria inexcelſis deo 4095,#rG+loria in excelſis deo,,,,,,,
5770,#iD+ie hirte redeten un#lde+r in,#rD+ie hirtten redeten vnder in,,,,,,,
5771,wir ſchulen den unſern ſin,wir ſulen den vnſern ſin,,,,,,,
5772,cheren hince chriſte,cheren hinze chriſte,,,,,,,
5773,wîe #f72r+ zæme unſ #lde+hein friſte,,,,,,,,
5774,,daz er vnſ friſte,,,,,,,
5775,daz unſ #lde+r engel hat geſaget 4100,als d#aer+ engel hat geſaget,,,,,,,
5776,uon dem kin#lde+ #avnd+ der maget,vm daz kint daz div magt,,,,,,,
5777,daz ſchvlen wir gerne ſehen,,,,,,,,
5778,#avnd+ gote #sov+h beiehen,,,,,,,,
5779,ſiner manchualten wnder,,,,,,,,
5780,,der werlde hat gewunnen,,,,,,,
5781,,ze frevden v#and+ zewunen,,,,,,,
5782,,verbum in#db+principio,,,,,,,
5783,,daz iſt erſchinen alſo,,,,,,,
5784,,daz menſchliche wat,,,,,,,
5785,,von ſiner diemvte hat,,,,,,,
5786,,pede fleiſch v#and+ pain,,,,,,,
5787,ennêin wrden ſie dar under 4105,ſi wur#aden+ ſchier des en ain,,,,,,,
5788,ob indavidis purge,ob in dauides burge,,,,,,,
5789,daz zeichen fun#lde+n wrde,daz zaichen funden wurde,,,,,,,
5790,ſo ſcholte ſie wol geluſten,,,,,,,,
5791,daz ſie daz t#suo+ch chuſten,,,,,,,,
5792,da der werlt urloſare 4110,,,,,,,,
5793,mit bedeket w#^æ+re,,,,,,,,
5794,,daz in ir vngemach,,,,,,,
5795,,der engel in z#svo+ ſp#ara+ch,,,,,,,
5796,do furen ſie ilande,ſi f#suo+ren eylande,,,,,,,
5797,chriſt ſi dar geſan#lde+,chriſt ſi dar ſande,,,,,,,
5798,daer kint kintlichen lach,,,,,,,,
5799,#avnd+ ſin diu reine pflach 4115,,,,,,,,
5800,alſ ſie daz erſahen,,,,,,,,
5801,ſie vielen enallen gahen,,,,,,,,
5802,#lde+r #f72v+ herſcefte zef#suo+zzen,,,,,,,,
5803,mit zæhern alſo f#suo+zzen,,,,,,,,
5804,,da er was bewunden,,,,,,,
5805,,do ſi daz vrk#aun+de funden,,,,,,,
5806,,v#and+ in d#aer+ krippe ſahen,,,,,,,
5807,,ſi begunden alle gahen,,,,,,,
5808,,vor liebe die hende winden,,,,,,,
5809,,gendem heligen kinde,,,,,,,
5810,ſie ſazten ſih andiv knîe 4120,ſi bugen ſich nider an die knie,,,,,,,
5811,owe wîe liebez in ergîe,hey wie lieb ez in ergie,,,,,,,
5812,da ſie in #avnd+ die fr#sov+en,,,,,,,,
5813,enſamet muſen ſch#sov+en,daz ſi m#szuo+ſten ſchowen,,,,,,,
5814,,die himiliſchen vrowen,,,,,,,
5815,,#f57v+ der nigen ſi ſchone,,,,,,,
5816,,daz edel kint frone,,,,,,,
5817,uon herzen rieffen ſieſ an,riefen ſi do an,,,,,,,
5818,#avnd+ cherten frolichen dan 4125,,,,,,,,
5819,wi#lde+r z#suo+ ir hute,,,,,,,,
5820,ſus troſte ſie got der g#suo+te,,,,,,,,
5821,#iD+o chriſt der wære hirte,,,,,,,,
5822,ſine botſchaft beſcherte,,,,,,,,
5823,den hirten alſo ſmæhen 4130,,,,,,,,
5824,do waren da uerre #avnd+ nahen,,,,,,,,
5825,,daz von rehte lobt weip vnde man,,,,,,,
5826,,#iD+ie bezaichnunge,,,,,,,
5827,,ob die min trêge zvnge,,,,,,,
5828,,wol gezelen mohte,,,,,,,
5829,,wie wol mir daz tohte,,,,,,,
5830,,daz got bey der naht,,,,,,,
5831,,daz reine kint geſlaht,,,,,,,
5832,,der werlde wolte zaigen,,,,,,,
5833,,div #^æ+ was ſin aygen,,,,,,,
5834,,v#and+ auch immer weſen m#suo+z,,,,,,,
5835,,da mit tet er vnſ p#suo+z,,,,,,,
5836,,d#aer+ vinſter alſo fraiſam,,,,,,,
5837,,die bede weip v#and+ man,,,,,,,
5838,,dolten von d#aer+ ſunde,,,,,,,
5839,,in dem abgrunde,,,,,,,
5840,,div naht v#and+ ir genibele,,,,,,,
5841,,was ſo groz hie nidene,,,,,,,
5842,,daz man ſi mohte greiffen,,,,,,,
5843,,div wolte niht ab ſleiffen,,,,,,,
5844,,vnz daz vns d#aer+ hailant,,,,,,,
5845,,bey der magt wart geſant,,,,,,,
5846,,Nv ſulen wir bey d#aer+ bl#suo+men,,,,,,,
5847,,frolichen r#suo+ben,,,,,,,
5848,,v#and+ han g#suo+te reſte,,,,,,,
5849,,wolte wir weſen veſte,,,,,,,
5850,,v#and+ wolten an der ſtunde,,,,,,,
5851,,dem laiden helle hunde,,,,,,,
5852,,vnſer ſele niht geben,,,,,,,
5853,,ſo wir ſchieden daz leben,,,,,,,
5854,,daz wir got gehiezzen,,,,,,,
5855,,do wir vnſ tovfen liezzen,,,,,,,
5856,,ſo moht wir bey d#aer+ bl#suo+men,,,,,,,
5857,,mit frevden immer r#svo+be#rN+ #iAmeN+,,,,,,,
5858,,#iD+#ro chriſt+ den hirtten tet bechant,,,,,,,
5859,,v#and+ in ſin botſchaft ſant,,,,,,,
5860,manige riche kunige,do lebten #f58r+ manige kunige,,,,,,,
5861,#avnd+ herzogen frumige,,,,,,,,
5862,die herliche lebeten,,,,,,,,
5863,#avnd+ den eren ſwebeten 4135,,,,,,,,
5864,,edel v#and+ frumige,,,,,,,
5865,den ſanter niht den engel ſin,den er niht ſant den boten ſin,,,,,,,
5866,daran lîez weſen ſchîn,dar an er machte ſchin,,,,,,,
5867,daz nîemen iſt ſo arme,daz nieman ſo arm iſt,,,,,,,
5868,der ſin zuhte wil bewarne,,,,,,,,
5869,ſo ni#lde+r noch ſo ringe 4140,,,,,,,,
